Team ID	Team Name	Deck 1	Deck 2	Deck 3	Deck 4
19145	Tower of Nerds	AAECAf0EBMABqwS/CKLTAg1xuwKVA+YElgXsBaO2Ate2Auu6Aoe9AsHBApjEAo/TAgA=	AAECAZ8FAvIFucECDsUD2wOnBacIsQjTqgLZrgLTvAKzwQKdwgKxwgLjywL40gLW5QIA	AAECAf0GBOCsApfTAp3iAtvpAg2TBPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAa0GApAH0OcCDgiNCPIMgrUCursC8LsC2cECysMCmcgCyssCzswCy+YC/OoC1+sCAA==
18765	GVSU Pro Hearthstone	AAECAR8GgAeoqwKFuALp0gKG0wLy6gIMjQGoArUDyQSXCNsJ/gz4sQLd0gLf0gLj0gLh4wIA	AAECAYsWBvQFucECg8cC1uUCteYCt+cCDKcF9QXZB7EI2a4Cu68C/68CuMcC2ccC48sC+NICieYCAA==	AAECAf0GBvIFxAjMCOCsApfTAtjnAgzbBrYH4QebwgLexALnywLy0AL40AKI0gL85QLq5gLo5wIA	AAECAa0GApAH0OcCDgiNCPIMgrUCursC8LsC2cECysMCmcgCyssCzswCy+YC/OoC1+sCAA==
20262	Hiram Terriers	AAECAf0GBvIFxAjgrAKX0wKd4gLb6QIMkwT3BLYH4QfexALnywLy0AL40AKI0gKL4QL85QLo5wIA	AAECAf0EBsABqwS/CKO2Atm7AqLTAgxxuwKVA+YElgXsBde2Auu6Aoe9AsHBApjEAo/TAgA=	AAECAR8GhwTFCKirAoW4AunSAobTAgyNAagCtQPJBJcI2wn+DPixAt3SAt/SAuPSAuHjAgA=	AAECAa0GApAH0OcCDgiNCPIMgrUCursC8LsC2cECysMCmcgCyssCzswCy+YC/OoC1+sCAA==
19914	É-lectriks	AAECAYO6AgabBagIkrYCsc4CgNMCu+8CDLQBxAHtAssDzQP4B4YJqa8Cub8Cqc0C5dEC2+MCAA==	AAECAf0GBMnCApfTAp3iAtvpAg2TBPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAZ8FArnBAq/CAg7FA9sDpwXyBa8HpwjTqgLZrgLTvAKzwQKdwgKxwgLjywL40gIA	AAECAa0GApAH0OcCDgiNCPIMgrUCursC8LsC2cECysMCmcgCyssCzswCy+YC/OoC1+sCAA==
18732	UTK Vols	AAECAf0GBvIFxAjMCOCsApfTAtjnAgzbBrYH4QebwgLexALnywLy0AL40AKI0gL85QLq5gLo5wIA	AAECAf0EBqsEo7YC67oCm8sC3s0CotMCDHG7ApUD5gSWBewF17YCh70CwcECmMQCj9MC0eECAA==	AAECAZ8FAsUDucECDtsDpwXyBacIsQjTqgLZrgLTvAKzwQKdwgKxwgLjywL40gLW5QIA	AAECAa0GApAH0OcCDgiNCPIMgrUCursC8LsC2cECysMCmcgCyssCzswCy+YC/OoC1+sCAA==
19953	UWGB	AAECAf0GBpME8gXzBeEHl9MC2+kCDPcEtgfECN7EAufLAvLQAvjQAojSAovhAvzlAurmAujnAgA=	AAECAf0ECFrJA4AEigfKwwKW0wKb0wLb0wILTbsCiwOVA6sEywSWBewHo7YC1M4CluQCAA==	AAECAR8AD6gCtQO7BfIF2QfrB5cI2wmBCv4M6rsCr8ICjsMC180Ci+UCAA==	AAECAa0GApAH0OcCDgiNCPIMursC8LsC2cECysMCmcgCyssCzswCy+YC6uYC/OoC1+sCAA==
20037	Avian Watchers	AAECAYoWAA+oArUDuwXyBdkH6weXCNsJgQr+DOq7Aq/CAo7DAtfNAovlAgA=	AAECAcn1AgTMCOCsApfTAtjnAg3bBrYHm8IC3sQC38QC58sC8tAC+NACiNICi+EC/OUC6uYC6OcCAA==	AAECAaToAgLFA7nBAg7bA6cF8gWnCLEI06oC2a4C07wCs8ECncICscIC48sC+NIC1uUCAA==	AAECAa0GApAH0OcCDgjyBY0I8gy6uwLwuwLZwQLKwwKZyALKywLOzALL5gL86gLX6wIA
20325	Swagnaros	AAECAf0GCooBkwTtBfIFxAjJwgLexAKX0wKd4gLb6QIK9wS2B+EH58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAZ8FBK8Erwe5wQLKywIN+wGnBfIFigexCNmuAv+vArPBAt/EArjHAuPLAvjSAtblAgA=	AAECAf0EAqO2AqLTAg5xuwKVA6sE5gSWBewF8gXXtgLrugKHvQLBwQKYxAKP0wIA	AAECAa0GAqDOAtDnAg4I8gWNCPIMgrUCursC8LsC2cECysMCmcgCyssCzswCy+YC1+sCAA==
20236	U of O Gee Gees	AAECAf0GApfTAtvpAg6TBPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6uYC6OcCAA==	AAECAaToAgLyBbnBAg7FA9sDpwWnCLEI06oC2a4C07wCs8ECncICscIC48sC+NIC1uUCAA==	AAECAf0EAsABotMCDnG7ApUDqwTmBJYF7AWjtgLXtgLrugKHvQLBwQKYxAKP0wIA	AAECAa0GAqEGpQkO+ALlBI0I0QryDIK1ArW7Arq7AvC7AtHBAtjBAsrDAsvmAvzqAgA=
20343	UCSD Triton Gaining	AAECAR8ErgbHrgLp0gKG0wINqAK1A4cEyQTbCf4M6asC+LEC3dIC39IC49IC4eMC6uMCAA==	AAECAaToAgahBvoGige5wQLKywLx6gIMpwXyBfUFrwfZB7EI2a4CuMcC48sClc4C+NIC1uUCAA==	AAECAf0GCO0F8gXhB8QI4KwCycICl9MC2+kCC5ME9wS2B97EAufLAvLQAvjQAojSAovhAvzlAujnAgA=	AAECAa0GAqUJ/OoCDpwC+ALlBI0I0QryDIK1ArW7Arq7AvC7AtHBAtjBAtnBAsvmAgA=
